
rxchar 'h'
FHSS scan starting...
CAD configured: symb=2, peak=56, pnr_delta=8, timeout=7 ms (SF6 BW125kHz)
FHSS scan started from ch0 (902.200 MHz)
sweep 151: 49 ms, mode=RX
sweep 152: 49 ms, mode=RX
CAD detected on ch34 (919.880 MHz) mode=RX
False CAD on ch34, resuming scan
sweep 153: 58 ms, mode=RX
CAD detected on ch41 (923.520 MHz) mode=RX
False CAD on ch41, resuming scan
sweep 154: 58 ms, mode=RX
sweep 155: 48 ms, mode=RX
sweep 156: 48 ms, mode=RX
sweep 157: 48 ms, mode=RX
sweep 158: 50 ms, mode=RX
sweep 159: 49 ms, mode=RX
CAD detected on ch49 (927.680 MHz) mode=RX
False CAD on ch49, resuming scan
sweep 160: 58 ms, mode=FS
sweep 161: 50 ms, mode=RX
sweep 162: 49 ms, mode=RX
sweep 163: 48 ms, mode=RX
sweep 164: 49 ms, mode=RX
sweep 165: 48 ms, mode=RX
sweep 166: 49 ms, mode=RX
sweep 167: 50 ms, mode=RX
sweep 168: 48 ms, mode=RX
sweep 169: 48 ms, mode=RX
sweep 170: 49 ms, mode=RX
sweep 171: 49 ms, mode=RX
sweep 172: 48 ms, mode=RX
sweep 173: 49 ms, mode=RX
sweep 174: 49 ms, mode=RX
sweep 175: 48 ms, mode=RX
sweep 176: 48 ms, mode=RX
sweep 177: 48 ms, mode=RX
sweep 178: 47 ms, mode=RX
sweep 179: 47 ms, mode=RX
sweep 180: 49 ms, mode=RX
sweep 181: 49 ms, mode=RX
sweep 182: 49 ms, mode=RX
sweep 183: 48 ms, mode=RX
sweep 184: 49 ms, mode=RX
sweep 185: 49 ms, mode=RX
sweep 186: 48 ms, mode=RX
sweep 187: 48 ms, mode=RX
sweep 188: 48 ms, mode=RX
sweep 189: 49 ms, mode=RX
sweep 190: 48 ms, mode=RX
sweep 191: 50 ms, mode=RX
sweep 192: 48 ms, mode=RX
sweep 193: 49 ms, mode=RX
CAD detected on ch36 (920.920 MHz) mode=RX
False CAD on ch36, resuming scan
sweep 194: 58 ms, mode=RX
sweep 195: 50 ms, mode=RX
sweep 196: 48 ms, mode=RX
sweep 197: 49 ms, mode=RX
sweep 198: 48 ms, mode=RX
CAD detected on ch34 (919.880 MHz) mode=RX
False CAD on ch34, resuming scan
sweep 199: 59 ms, mode=RX
sweep 200: 49 ms, mode=RX
sweep 201: 48 ms, mode=RX
sweep 202: 47 ms, mode=RX
sweep 203: 49 ms, mode=RX
CAD detected on ch25 (915.200 MHz) mode=RX
False CAD on ch25, resuming scan
sweep 204: 59 ms, mode=RX
CAD detected on ch26 (915.720 MHz) mode=RX
False CAD on ch26, resuming scan
sweep 205: 58 ms, mode=RX
CAD detected on ch24 (914.680 MHz) mode=RX
False CAD on ch24, resuming scan
sweep 206: 58 ms, mode=RX
sweep 207: 47 ms, mode=RX
CAD detected on ch13 (908.960 MHz) mode=RX
False CAD on ch13, resuming scan
sweep 208: 60 ms, mode=RX
sweep 209: 49 ms, mode=RX
sweep 210: 48 ms, mode=RX
sweep 211: 48 ms, mode=RX
sweep 212: 49 ms, mode=RX
sweep 213: 48 ms, mode=RX
sweep 214: 48 ms, mode=RX
sweep 215: 47 ms, mode=RX
sweep 216: 49 ms, mode=RX
sweep 217: 49 ms, mode=RX
sweep 218: 48 ms, mode=RX
sweep 219: 49 ms, mode=RX
sweep 220: 50 ms, mode=RX
sweep 221: 49 ms, mode=RX
sweep 222: 48 ms, mode=RX
sweep 223: 48 ms, mode=RX
sweep 224: 49 ms, mode=RX
sweep 225: 47 ms, mode=RX
sweep 226: 50 ms, mode=RX
sweep 227: 47 ms, mode=RX
sweep 228: 49 ms, mode=RX
sweep 229: 48 ms, mode=RX
sweep 230: 48 ms, mode=RX
sweep 231: 49 ms, mode=RX
sweep 232: 49 ms, mode=RX
sweep 233: 48 ms, mode=RX
sweep 234: 48 ms, mode=RX
sweep 235: 49 ms, mode=RX
sweep 236: 47 ms, mode=RX
CAD detected on ch21 (913.120 MHz) mode=RX
False CAD on ch21, resuming scan
sweep 237: 58 ms, mode=RX
sweep 238: 48 ms, mode=RX
sweep 239: 48 ms, mode=RX
sweep 240: 47 ms, mode=RX
sweep 241: 49 ms, mode=RX
sweep 242: 49 ms, mode=RX
sweep 243: 48 ms, mode=RX
sweep 244: 49 ms, mode=RX
sweep 245: 48 ms, mode=RX
sweep 246: 49 ms, mode=RX
sweep 247: 50 ms, mode=RX
sweep 248: 49 ms, mode=RX
CAD detected on ch22 (913.640 MHz) mode=RX
False CAD on ch22, resuming scan
sweep 249: 60 ms, mode=RX
sweep 250: 48 ms, mode=RX
sweep 251: 48 ms, mode=RX
CAD detected on ch26 (915.720 MHz) mode=RX
False CAD on ch26, resuming scan
sweep 252: 61 ms, mode=RX
sweep 253: 48 ms, mode=RX
sweep 254: 49 ms, mode=RX
sweep 255: 47 ms, mode=RX
sweep 256: 51 ms, mode=RX
sweep 257: 48 ms, mode=RX
sweep 258: 49 ms, mode=RX
sweep 259: 48 ms, mode=RX
sweep 260: 47 ms, mode=RX
sweep 261: 48 ms, mode=RX
sweep 262: 48 ms, mode=RX
sweep 263: 50 ms, mode=RX
sweep 264: 48 ms, mode=RX
sweep 265: 48 ms, mode=RX
sweep 266: 49 ms, mode=RX
sweep 267: 50 ms, mode=RX
sweep 268: 48 ms, mode=RX
sweep 269: 48 ms, mode=RX
sweep 270: 51 ms, mode=RX
sweep 271: 48 ms, mode=RX
CAD detected on ch1 (902.720 MHz) mode=RX
False CAD on ch1, resuming scan
CAD detected on ch32 (918.840 MHz) mode=RX
False CAD on ch32, resuming scan
sweep 272: 70 ms, mode=RX
sweep 273: 48 ms, mode=RX
sweep 274: 49 ms, mode=RX
sweep 275: 47 ms, mode=RX
sweep 276: 49 ms, mode=RX
CAD detected on ch49 (927.680 MHz) mode=RX
False CAD on ch49, resuming scan
sweep 277: 59 ms, mode=FS
sweep 278: 50 ms, mode=RX
sweep 279: 49 ms, mode=RX
sweep 280: 48 ms, mode=RX
sweep 281: 48 ms, mode=RX
sweep 282: 49 ms, mode=RX
sweep 283: 49 ms, mode=RX
sweep 284: 48 ms, mode=RX
sweep 285: 49 ms, mode=RX
sweep 286: 48 ms, mode=RX
sweep 287: 48 ms, mode=RX
sweep 288: 49 ms, mode=RX
sweep 289: 48 ms, mode=RX
sweep 290: 49 ms, mode=RX
sweep 291: 49 ms, mode=RX
sweep 292: 49 ms, mode=RX
sweep 293: 48 ms, mode=RX
sweep 294: 48 ms, mode=RX
sweep 295: 50 ms, mode=RX
sweep 296: 49 ms, mode=RX
sweep 297: 49 ms, mode=RX
sweep 298: 48 ms, mode=RX
sweep 299: 49 ms, mode=RX
sweep 300: 47 ms, mode=RX
CAD detected on ch13 (908.960 MHz) mode=RX
False CAD on ch13, resuming scan
sweep 301: 60 ms, mode=RX
sweep 302: 48 ms, mode=RX
sweep 303: 48 ms, mode=RX
sweep 304: 48 ms, mode=RX
sweep 305: 48 ms, mode=RX
sweep 306: 48 ms, mode=RX
sweep 307: 50 ms, mode=RX
sweep 308: 47 ms, mode=RX
CAD detected on ch18 (911.560 MHz) mode=RX
False CAD on ch18, resuming scan
sweep 309: 58 ms, mode=RX
sweep 310: 49 ms, mode=RX
sweep 311: 48 ms, mode=RX
sweep 312: 49 ms, mode=RX
sweep 313: 49 ms, mode=RX
sweep 314: 49 ms, mode=RX
sweep 315: 50 ms, mode=RX
sweep 316: 47 ms, mode=RX
sweep 317: 48 ms, mode=RX
sweep 318: 48 ms, mode=RX
sweep 319: 48 ms, mode=RX
sweep 320: 49 ms, mode=RX
sweep 321: 47 ms, mode=RX
sweep 322: 49 ms, mode=RX
sweep 323: 49 ms, mode=RX
sweep 324: 48 ms, mode=RX
sweep 325: 49 ms, mode=RX
sweep 326: 48 ms, mode=RX
sweep 327: 49 ms, mode=RX
sweep 328: 49 ms, mode=RX
sweep 329: 48 ms, mode=RX
sweep 330: 48 ms, mode=RX
sweep 331: 48 ms, mode=RX
sweep 332: 50 ms, mode=RX
sweep 333: 48 ms, mode=RX
sweep 334: 50 ms, mode=RX
sweep 335: 48 ms, mode=RX
sweep 336: 48 ms, mode=RX
sweep 337: 47 ms, mode=RX
sweep 338: 48 ms, mode=RX
CAD detected on ch5 (904.800 MHz) mode=RX
False CAD on ch5, resuming scan
sweep 339: 59 ms, mode=RX
sweep 340: 50 ms, mode=RX
sweep 341: 48 ms, mode=RX
sweep 342: 49 ms, mode=RX
sweep 343: 47 ms, mode=RX
CAD detected on ch21 (913.120 MHz) mode=RX
False CAD on ch21, resuming scan
sweep 344: 59 ms, mode=RX
sweep 345: 48 ms, mode=RX
sweep 346: 49 ms, mode=RX
sweep 347: 48 ms, mode=RX
rxchar 'h'
FHSS scan stopped

